tid,title,Header,concept1,concept2,Proposed _relation_c1,Proposed_objects_c1,Proposed_relation_c2,Proposed_objects_c2
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Photogenodermatoses,Xeroderma pigmentosum,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Photogenodermatoses,"Rare. Defect in DNA excision repair, abnormal photosensitivity, photo-ageing and skin cancer. There may be neurological features",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Xeroderma pigmentosum,"Rare. Defect in DNA excision repair, abnormal photosensitivity, photo-ageing and skin cancer. There may be neurological features",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Photo-aggravation of pre-existing conditions,Lupus erythematosus,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Photo-aggravation of pre-existing conditions,"Can also be drug-induced (see XREF, XREF)",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Lupus erythematosus,"Can also be drug-induced (see XREF, XREF)",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Photo-aggravation of pre-existing conditions,Erythema multiforme,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Photo-aggravation of pre-existing conditions,XREF,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Erythema multiforme,XREF,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Photo-aggravation of pre-existing conditions,Rosacea,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Photo-aggravation of pre-existing conditions,XREF,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Rosacea,XREF,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Arterial disease,"Atherosclerosis, Vasculitis",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Arterial disease,Buerger's disease,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Small-vessel disease,Diabetes mellitus,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Small-vessel disease,Vasculitis,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Haematological disorders,Sickle-cell diseaseCryoglobulinaemiaSpherocytosisPolycythaemia,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Haematological disorders,MyelomaWaldenström's macroglobulinaemiaImmune complex disease,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Neuropathy,Diabetes mellitusLeprosy (Hansen's disease),Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Neuropathy,Syphilis,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Tumour,Squamous cell carcinomaBasal cell carcinoma,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Tumour,Malignant melanomaKaposi's sarcoma,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Trauma,Injury,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0045,Causes of leg ulceration,Causes of leg ulceration,Trauma,Factitious,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0050,Characteristics of vehicles used in topical treatments,"[""Definition""]",Creams,Emulsions of oil and water (aqueous cream),Has drug,drug/substance,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Use""]",Creams,"Acute presentationsCooling, soothingWell absorbedMild emollients",Has drug,drug/substance,Has indication,qualifier/clinical finding/symptoms/disease
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]",Creams,"All sites, including mucous membranes and flexures, but not hair-bearing areas",Has drug,drug/substance,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Creams,Very goodHelps adherence,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Creams,"Significant, due to preservatives, antimicrobials and often lanolin",,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Emulsions of oil and water (aqueous cream),Very goodHelps adherence,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]","Acute presentationsCooling, soothingWell absorbedMild emollients","All sites, including mucous membranes and flexures, but not hair-bearing areas",Has indication,qualifier/clinical finding/symptoms/disease,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]","Acute presentationsCooling, soothingWell absorbedMild emollients",Very goodHelps adherence,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]","Acute presentationsCooling, soothingWell absorbedMild emollients","Significant, due to preservatives, antimicrobials and often lanolin",Has indication,qualifier/clinical finding/symptoms/disease,,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]","All sites, including mucous membranes and flexures, but not hair-bearing areas",Very goodHelps adherence,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]","All sites, including mucous membranes and flexures, but not hair-bearing areas","Significant, due to preservatives, antimicrobials and often lanolin",,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Very goodHelps adherence,"Significant, due to preservatives, antimicrobials and often lanolin",,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Definition""]",Ointments,Greasy preparationsInsoluble in water (white soft paraffin)Soluble (emulsifying ointment),Has drug,drug/substance,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Use""]",Ointments,Chronic dry skin conditionsOcclusive and emollientHydratingMildly anti-inflammatory,Has drug,drug/substance,Has indication,qualifier/clinical finding/symptoms/disease
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]",Ointments,Avoid hair-bearing areas and flexures,Has drug,drug/substance,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Ointments,Moderate,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Ointments,Low,Has drug,drug/substance,,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Greasy preparationsInsoluble in water (white soft paraffin)Soluble (emulsifying ointment),Moderate,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]",Chronic dry skin conditionsOcclusive and emollientHydratingMildly anti-inflammatory,Avoid hair-bearing areas and flexures,Has indication,qualifier/clinical finding/symptoms/disease,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Chronic dry skin conditionsOcclusive and emollientHydratingMildly anti-inflammatory,Moderate,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Chronic dry skin conditionsOcclusive and emollientHydratingMildly anti-inflammatory,Low,Has indication,qualifier/clinical finding/symptoms/disease,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Avoid hair-bearing areas and flexures,Moderate,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Avoid hair-bearing areas and flexures,Low,,,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Definition""]",Lotions,Water-basedLiquid formulationsOften antiseptic and astringent (potassium permanganate),Has drug,drug/substance,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Use""]",Lotions,Cooling effectCleans the skin and removes exudates,Has drug,drug/substance,Has indication,qualifier/clinical finding/symptoms/disease
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]",Lotions,Large areas of the skin and the scalp,Has drug,drug/substance,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Lotions,"Good, but can sting if in an alcoholic base",,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Lotions,Rare,Has drug,drug/substance,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Water-basedLiquid formulationsOften antiseptic and astringent (potassium permanganate),"Good, but can sting if in an alcoholic base",,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]",Cooling effectCleans the skin and removes exudates,Large areas of the skin and the scalp,Has indication,qualifier/clinical finding/symptoms/disease,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Cooling effectCleans the skin and removes exudates,"Good, but can sting if in an alcoholic base",,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Cooling effectCleans the skin and removes exudates,Rare,Has indication,qualifier/clinical finding/symptoms/disease,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Large areas of the skin and the scalp,"Good, but can sting if in an alcoholic base",,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Large areas of the skin and the scalp,Rare,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Definition""]",Gels,Thickened lotionsHydrophilic and hydrophobic bases,Has drug,drug/substance,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Use""]",Gels,For specific sites,Has drug,drug/substance,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]",Gels,Hair-bearing areas and the face,Has drug,drug/substance,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Gels,Good,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Gels,Low,Has drug,drug/substance,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Thickened lotionsHydrophilic and hydrophobic bases,Good,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]",For specific sites,Hair-bearing areas and the face,Has indication,qualifier/clinical finding/symptoms/disease,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",For specific sites,Good,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Hair-bearing areas and the face,Good,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Hair-bearing areas and the face,Low,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Definition""]",Pastes,Semi-solid preparations consisting of finely powdered solids suspended in an ointment,Has drug,drug/substance,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Use""]",Pastes,"Occlusive, protectiveHydratingCircumscribed skin lesions, (psoriasis, lichen simplex chronicus)",Has drug,drug/substance,Has indication,qualifier/clinical finding/symptoms/disease
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]",Pastes,Any area of skinOften used in medicated bandages,Has drug,drug/substance,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Pastes,Moderate,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Pastes,Moderate,Has drug,drug/substance,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Semi-solid preparations consisting of finely powdered solids suspended in an ointment,Moderate,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Semi-solid preparations consisting of finely powdered solids suspended in an ointment,Moderate,,,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Site""]","Occlusive, protectiveHydratingCircumscribed skin lesions, (psoriasis, lichen simplex chronicus)",Any area of skinOften used in medicated bandages,Has indication,qualifier/clinical finding/symptoms/disease,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]","Occlusive, protectiveHydratingCircumscribed skin lesions, (psoriasis, lichen simplex chronicus)",Moderate,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]","Occlusive, protectiveHydratingCircumscribed skin lesions, (psoriasis, lichen simplex chronicus)",Moderate,Has indication,qualifier/clinical finding/symptoms/disease,remove,
t0050,Characteristics of vehicles used in topical treatments,"[""Cosmetic acceptability""]",Any area of skinOften used in medicated bandages,Moderate,,,,
t0050,Characteristics of vehicles used in topical treatments,"[""Risk of contact sensitisation""]",Any area of skinOften used in medicated bandages,Moderate,Has indication,qualifier/clinical finding/symptoms/disease,remove,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Nickel,"Jewellery, jean studs, bra clips, watches",,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Dichromate,"Cement, leather, matches",,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Rubber chemicals,"Clothing, shoes, rubber gloves, tyres",,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Colophony,"Sticking plaster, collodion, nail varnish",,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Paraphenylenediamine,"Hair dye, clothing, tattoos",,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Balsam of Peru,"Perfumes, citrus fruits, shower/bath products",,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]","Neomycin, benzocaine",Topical medications,,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Parabens,Preservative in cosmetics and creams,,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Wool alcohols,"Lanolin, cosmetics, creams",,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Epoxy resin,"Resin adhesives, glues",,,,
t0060,Common type IV delayed hypersensitivity allergens,"[""Source""]",Methyl- and chloromethyl-isothiazolinone,"Preservatives, with increasing numbers of cases of allergy reported",,,,
t0065,Classification of epidermolysis bullosa,"[""Mode of inheritance""]",Simple,Autosomal dominant,Has clinical finding,clinical finding/symptoms/disease,Has clinical finding,clinical finding/symptoms/disease
t0065,Classification of epidermolysis bullosa,"[""Level of blisterXREF""]",Simple,Epidermal basal cell,Has clinical finding,clinical finding/symptoms/disease,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0065,Classification of epidermolysis bullosa,"[""Abnormality""]",Simple,Keratins 5 and 14,Has clinical finding,clinical finding/symptoms/disease,Has abnormality,physical object/substance/protein/anatomy
t0065,Classification of epidermolysis bullosa,"[""Level of blisterXREF""]",Autosomal dominant,Epidermal basal cell,Has clinical finding,clinical finding/symptoms/disease,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0065,Classification of epidermolysis bullosa,"[""Abnormality""]",Autosomal dominant,Keratins 5 and 14,Has clinical finding,clinical finding/symptoms/disease,Has abnormality,physical object/substance/protein/anatomy
t0065,Classification of epidermolysis bullosa,"[""Abnormality""]",Epidermal basal cell,Keratins 5 and 14,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has abnormality,physical object/substance/protein/anatomy
t0065,Classification of epidermolysis bullosa,"[""Mode of inheritance""]",Junctional,Autosomal recessive,Has clinical finding,clinical finding/symptoms/disease,Has clinical finding,clinical finding/symptoms/disease
t0065,Classification of epidermolysis bullosa,"[""Level of blisterXREF""]",Junctional,Lamina lucida,Has clinical finding,clinical finding/symptoms/disease,,
t0065,Classification of epidermolysis bullosa,"[""Abnormality""]",Junctional,Laminin-5 and α6β4 integrin,Has clinical finding,clinical finding/symptoms/disease,Has abnormality,physical object/substance/protein/anatomy
t0065,Classification of epidermolysis bullosa,"[""Level of blisterXREF""]",Autosomal recessive,Lamina lucida,Has clinical finding,clinical finding/symptoms/disease,,clinical finding/symptoms/disease
t0065,Classification of epidermolysis bullosa,"[""Abnormality""]",Autosomal recessive,Laminin-5 and α6β4 integrin,Has clinical finding,clinical finding/symptoms/disease,Has abnormality,physical object/substance/protein/anatomy
t0065,Classification of epidermolysis bullosa,"[""Abnormality""]",Lamina lucida,Laminin-5 and α6β4 integrin,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has abnormality,physical object/substance/protein/anatomy
t0065,Classification of epidermolysis bullosa,"[""Mode of inheritance""]",Dystrophic,Autosomal dominant and recessive,Has clinical finding,clinical finding/symptoms/disease,Has clinical finding,clinical finding/symptoms/disease
t0065,Classification of epidermolysis bullosa,"[""Level of blisterXREF""]",Dystrophic,Dermis below lamina densa,Has clinical finding,clinical finding/symptoms/disease,,
t0065,Classification of epidermolysis bullosa,"[""Abnormality""]",Dystrophic,Collagen VII,Has clinical finding,clinical finding/symptoms/disease,Has abnormality,physical object/substance/protein/anatomy
t0065,Classification of epidermolysis bullosa,"[""Level of blisterXREF""]",Autosomal dominant and recessive,Dermis below lamina densa,Has clinical finding,clinical finding/symptoms/disease,,
t0065,Classification of epidermolysis bullosa,"[""Abnormality""]",Autosomal dominant and recessive,Collagen VII,Has clinical finding,clinical finding/symptoms/disease,Has abnormality,physical object/substance/protein/anatomy
t0065,Classification of epidermolysis bullosa,"[""Abnormality""]",Dermis below lamina densa,Collagen VII,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has abnormality,physical object/substance/protein/anatomy
t0070,Age of onset in immunobullous skin disorders,"[""Age""]",Pemphigus vulgaris,40–60 years,Has cause,symptoms/clinical findings/disease/organism,Has risk factor,clinical finding/disease/social context/drug/substance/environmental geographic location
t0070,Age of onset in immunobullous skin disorders,"[""Age""]",Pemphigus foliaceus,"Any age (endemic form in parts of Brazil and South Africa, from teenage years on)",Has cause,symptoms/clinical findings/disease/organism,Has risk factor,clinical finding/disease/social context/drug/substance/environmental geographic location
t0070,Age of onset in immunobullous skin disorders,"[""Age""]",Bullous pemphigoid,Sixties and over,Has cause,symptoms/clinical findings/disease/organism,Has risk factor,clinical finding/disease/social context/drug/substance/environmental geographic location
t0070,Age of onset in immunobullous skin disorders,"[""Age""]",Dermatitis herpetiformis,"Young, associated with coeliac disease",Has cause,symptoms/clinical findings/disease/organism,Has risk factor,clinical finding/disease/social context/drug/substance/environmental geographic location
t0070,Age of onset in immunobullous skin disorders,"[""Age""]",Linear IgA disease,Any age,Has cause,symptoms/clinical findings/disease/organism,Has risk factor,clinical finding/disease/social context/drug/substance/environmental geographic location
t0070,Age of onset in immunobullous skin disorders,"[""Age""]",Pemphigoid gestationis,Pregnant females,Has cause,symptoms/clinical findings/disease/organism,Has risk factor,clinical finding/disease/social context/drug/substance/environmental geographic location
t0070,Age of onset in immunobullous skin disorders,"[""Age""]",Epidermolysis bullosa acquisita,Any age,Has cause,symptoms/clinical findings/disease/organism,Has risk factor,clinical finding/disease/social context/drug/substance/environmental geographic location
t0070,Age of onset in immunobullous skin disorders,"[""Age""]",Bullous lupus erythematosus,Young black females,Has cause,symptoms/clinical findings/disease/organism,Has risk factor,clinical finding/disease/social context/drug/substance/environmental geographic location
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Site of blisters""]",Pemphigus vulgaris,"Trunk, head",Has cause,symptoms/clinical findings/disease/organism,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Pemphigus vulgaris,"Flaccid, fragile, many erosions",Has cause,symptoms/clinical findings/disease/organism,Has clinical finding,clinical finding/symptoms/disease
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Pemphigus vulgaris,Desmoglein-1 and 3 (120 kD),Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Pemphigus vulgaris,IgG,Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Pemphigus vulgaris,"IgG, C3 intercellular (epidermal)",Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]","Trunk, head","Flaccid, fragile, many erosions",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]","Trunk, head",Desmoglein-1 and 3 (120 kD),Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Trunk, head",IgG,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Trunk, head","IgG, C3 intercellular (epidermal)",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]","Flaccid, fragile, many erosions",100%,Has clinical finding,clinical finding/symptoms/disease,remove,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]","Flaccid, fragile, many erosions",Desmoglein-1 and 3 (120 kD),Has clinical finding,clinical finding/symptoms/disease,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Flaccid, fragile, many erosions",IgG,Has clinical finding,clinical finding/symptoms/disease,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Flaccid, fragile, many erosions","IgG, C3 intercellular (epidermal)",Has clinical finding,clinical finding/symptoms/disease,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Desmoglein-1 and 3 (120 kD),IgG,Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Desmoglein-1 and 3 (120 kD),"IgG, C3 intercellular (epidermal)",Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",IgG,"IgG, C3 intercellular (epidermal)",Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Site of blisters""]",Pemphigus foliaceus,Trunk,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Pemphigus foliaceus,"Often not present, multiple erosions, may mimic dermatitis",Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Pemphigus foliaceus,No,Has cause,symptoms/clinical findings/disease/organism,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Pemphigus foliaceus,Desmoglein-1,Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Pemphigus foliaceus,IgG,Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Pemphigus foliaceus,"IgG, C3 intercellular (epidermal)",Has cause,symptoms/clinical findings/disease/organism,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Nature of blisters""]",Trunk,"Often not present, multiple erosions, may mimic dermatitis",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]",Trunk,No,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]",Trunk,Desmoglein-1,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Trunk,IgG,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]",Trunk,"IgG, C3 intercellular (epidermal)",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Mucous membrane involvement""]","Often not present, multiple erosions, may mimic dermatitis",No,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Antigen""]","Often not present, multiple erosions, may mimic dermatitis",Desmoglein-1,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]","Often not present, multiple erosions, may mimic dermatitis",IgG,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Fixed antibody (direct IF)""]","Often not present, multiple erosions, may mimic dermatitis","IgG, C3 intercellular (epidermal)",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has positive lab values,substances/proteins/clinical finding/symptoms
t0075,Clinical and investigation findings in the immunobullous disorders,"[""Circulating antibody (indirect IF)""]",Desmoglein-1,IgG,Has positive lab values,substances/proteins/clinical finding/symptoms,Has positive lab values,substances/proteins/clinical finding/symptoms
